match_id,match_date,winner_id,loser_id,court_speed_index,round_numeric,best_of,tier_numeric,surface_Hard,surface_Clay,surface_Grass,tier_Grand_Slam,tier_Masters_1000,tier_ATP_500,tier_ATP_250,tier_Challenger,d_elo_overall,d_elo_surface,d_atp_rank,d_surface_win_rate,d_recent_form_10,d_serve_rating,d_return_rating,serve_vs_return,d_ace_rate,d_bp_save_rate,d_days_rest,d_matches_last_14d,p1_matches_14d,p2_matches_14d,h2h_overall,h2h_surface,h2h_surface_3y,h2h_last5_weighted,elo_mkt_gap,d_serve_style_csi,p1_fatigue_games_7d,p2_fatigue_games_7d,d_fatigue_games_7d,p1_surface_transition,p2_surface_transition,d_surface_transition,serve_hold_matchup,p1_form_regression,p2_form_regression,tournament_proximity,total_games,game_diff,p1_is_winner,winner_won
60,2015-01-05,37,196,42.0,3,3,2,1,0,0,0,0,1,0,0,0.0,0.0,-33.0,,,,,,,,0,0,0,0,0.5,0.5,0.5,0.5,-0.20420000000000005,,0,0,0,52.0,52.0,0.0,,0.0,0.0,0,32,2.0,1,1
60,2015-01-05,37,196,42.0,3,3,2,1,0,0,0,0,1,0,0,-0.0,-0.0,33.0,,,,,,,,0,0,0,0,0.5,0.5,0.5,0.5,0.20420000000000005,,0,0,0,52.0,52.0,-0.0,,0.0,0.0,0,32,2.0,0,0
59,2015-01-05,36,117,42.0,3,3,2,1,0,0,0,0,1,0,0,0.0,0.0,-131.0,,,,,,,,0,0,0,0,0.5,0.5,0.5,0.5,,,0,0,0,52.0,52.0,0.0,,0.0,0.0,0,32,4.0,1,1
59,2015-01-05,36,117,42.0,3,3,2,1,0,0,0,0,1,0,0,-0.0,-0.0,131.0,,,,,,,,0,0,0,0,0.5,0.5,0.5,0.5,,,0,0,0,52.0,52.0,-0.0,,0.0,0.0,0,32,4.0,0,0
64,2015-01-05,41,70,42.0,3,3,2,1,0,0,0,0,1,0,0,0.0,0.0,12.0,,,,,,,,0,0,0,0,0.5,0.5,0.5,0.5,0.03699999999999998,,0,0,0,52.0,52.0,0.0,,0.0,0.0,0,22,4.0,1,1
64,2015-01-05,41,70,42.0,3,3,2,1,0,0,0,0,1,0,0,-0.0,-0.0,-12.0,,,,,,,,0,0,0,0,0.5,0.5,0.5,0.5,-0.03699999999999992,,0,0,0,52.0,52.0,-0.0,,0.0,0.0,0,22,4.0,0,0
71,2015-01-05,32,33,42.0,3,3,2,1,0,0,0,0,1,0,0,0.0,0.0,-56.0,,,,,,,,0,0,0,0,0.5,0.5,0.5,0.5,,,0,0,0,52.0,52.0,0.0,,0.0,0.0,0,15,9.0,1,1
71,2015-01-05,32,33,42.0,3,3,2,1,0,0,0,0,1,0,0,-0.0,-0.0,56.0,,,,,,,,0,0,0,0,0.5,0.5,0.5,0.5,,,0,0,0,52.0,52.0,-0.0,,0.0,0.0,0,15,9.0,0,0
85,2015-01-05,36,43,42.0,3,3,2,1,0,0,0,0,1,0,0,0.0,0.0,3.0,0.0,0.0,,,,,,0,0,1,1,0.5,0.5,0.5,0.5,,,32,17,15,0.0,0.0,0.0,,-0.3868631798468569,-0.3868631798468569,0,22,4.0,1,1
85,2015-01-05,36,43,42.0,3,3,2,1,0,0,0,0,1,0,0,-0.0,-0.0,-3.0,-0.0,-0.0,,,,,,0,0,1,1,0.5,0.5,0.5,0.5,,,17,32,-15,0.0,0.0,-0.0,,-0.3868631798468569,-0.3868631798468569,0,22,4.0,0,0
73,2015-01-05,36,37,42.0,3,3,2,1,0,0,0,0,1,0,0,0.0,0.0,-23.0,0.0,0.0,,-25.252525252525253,,,-0.2525252525252525,0,1,2,1,0.5,0.5,0.5,0.5,,,54,32,22,0.0,0.0,0.0,-0.09507575757575759,-0.5287505638922686,-0.4712494361077314,0,17,7.0,1,1
